category,period,amount,actual_roi,month,quarter,month_sin,month_cos,amount_lag_1,amount_lag_2,amount_lag_3,rolling_3m_avg,rolling_6m_avg,roi_lag_1,mom_growth,spend_ratio,category_encoded
Administration,2025-07,63770.34,0.95,7,3,-0.4999999999999997,-0.8660254037844388,67582.89,70508.07,70553.14,69548.03333333334,66410.42166666668,0.94,-4.148716593717581,0.036026563630196476,0
Administration,2025-08,61601.43,0.97,8,3,-0.8660254037844384,-0.5000000000000004,63770.34,67582.89,70508.07,67287.09999999999,67133.83166666667,0.95,-5.641294712315503,0.033993190577086635,0
Administration,2025-09,62610.17,0.99,9,3,-1.0,-1.8369701987210297e-16,61601.43,63770.34,67582.89,64318.22,66914.70833333333,0.97,-3.4011266052525304,0.032755297985309864,0
Administration,2025-10,66403.04,1.0,10,4,-0.8660254037844386,0.5000000000000001,62610.17,61601.43,63770.34,62660.64666666667,66104.34,0.99,1.6375269210471217,0.033069154412450556,0
Administration,2025-11,70897.7,1.02,11,4,-0.5000000000000004,0.8660254037844384,66403.04,62610.17,61601.43,63538.213333333326,65412.656666666655,1.0,6.05791359454861,0.03472146370539396,0
Administration,2025-12,73586.14,1.02,12,4,-2.4492935982947064e-16,1.0,70897.7,66403.04,62610.17,66636.96999999999,65477.594999999994,1.02,6.768756370190286,0.036684184027662076,0
Customer Support,2024-04,95559.83,1.3,4,2,0.8660254037844387,-0.4999999999999998,98901.83,97499.21,91875.23,96092.09000000001,96092.09000000001,1.32,1.4385962717031198,0.05765161108031104,1
Customer Support,2024-05,89827.98,1.28,5,2,0.49999999999999994,-0.8660254037844387,95559.83,98901.83,97499.21,97320.29,95959.025,1.3,-3.3791083542134657,0.055612783076029286,1
Customer Support,2024-06,85510.71,1.26,6,2,1.2246467991473532e-16,-1.0,89827.98,95559.83,98901.83,94763.21333333333,94732.816,1.28,-5.998179360511635,0.051966880148726614,1
Customer Support,2024-07,85554.36,1.26,7,3,-0.4999999999999997,-0.8660254037844388,85510.71,89827.98,95559.83,90299.50666666667,93195.79833333334,1.26,-4.806152826769554,0.04896845661582522,1
Customer Support,2024-08,90260.02,1.26,8,3,-0.8660254037844384,-0.5000000000000004,85554.36,85510.71,89827.98,86964.34999999999,92142.32,1.26,0.05104623736604944,0.048423172805781935,1
Customer Support,2024-09,97100.85,1.28,9,3,-1.0,-1.8369701987210297e-16,90260.02,85554.36,85510.71,87108.36333333334,90935.78833333333,1.26,5.500198937844901,0.050595003215943485,1
Customer Support,2024-10,102254.86,1.3,10,4,-0.8660254037844386,0.5000000000000001,97100.85,90260.02,85554.36,90971.74333333333,90635.625,1.28,7.579025575221457,0.054140107092431895,1
Customer Support,2024-11,102923.24,1.32,11,4,-0.5000000000000004,0.8660254037844384,102254.86,97100.85,90260.02,96538.57666666668,91751.46333333333,1.3,5.307893803195332,0.05694031913573771,1
Customer Support,2024-12,99028.13,1.33,12,4,-2.4492935982947064e-16,1.0,102923.24,102254.86,97100.85,100759.65000000001,93934.00666666667,1.32,0.6536413036994082,0.05731655511015717,1
Customer Support,2025-01,93259.8,1.34,1,1,0.49999999999999994,0.8660254037844387,99028.13,102923.24,102254.86,101402.07666666666,96186.91000000002,1.33,-3.784480550748306,0.05503415839039848,1
Customer Support,2025-02,89444.8,1.34,2,1,0.8660254037844386,0.5000000000000001,93259.8,99028.13,102923.24,98403.72333333334,97471.15000000001,1.34,-5.824940852664795,0.05150035159585221,1
Customer Support,2025-03,90224.82,1.33,3,1,1.0,6.123233995736766e-17,89444.8,93259.8,99028.13,93910.90999999999,97335.27999999998,1.34,-4.090722905260359,0.04889503746703712,1
Customer Support,2025-04,95454.26,1.31,4,2,0.8660254037844387,-0.4999999999999998,90224.82,89444.8,93259.8,90976.47333333334,96189.27500000001,1.33,0.8720685830814133,0.0487760843707442,1
Customer Support,2025-05,102288.57,1.29,5,2,0.49999999999999994,-0.8660254037844387,95454.26,90224.82,89444.8,91707.96,95055.84166666667,1.31,5.796010454772852,0.05115454870652292,1
Customer Support,2025-06,106909.71,1.27,6,2,1.2246467991473532e-16,-1.0,102288.57,95454.26,90224.82,95989.21666666667,94950.06333333334,1.29,7.159774744469249,0.054573256695525034,1
Customer Support,2025-07,106842.11,1.26,7,3,-0.4999999999999997,-0.8660254037844388,106909.71,102288.57,95454.26,101550.84666666668,96263.66000000002,1.27,4.517748170690038,0.0569906002836051,1
Customer Support,2025-08,102454.34,1.26,8,3,-0.8660254037844384,-0.5000000000000004,106842.11,106909.71,102288.57,105346.79666666668,98527.37833333334,1.26,-0.06323092635833155,0.056952875065242776,1
Customer Support,2025-09,96735.51,1.27,9,3,-1.0,-1.8369701987210297e-16,102454.34,106842.11,106909.71,105402.05333333333,100695.63500000001,1.26,-4.106779620881696,0.05447799566646832,1
Customer Support,2025-10,93482.14,1.29,10,4,-0.8660254037844386,0.5000000000000001,96735.51,102454.34,106842.11,102010.65333333332,101780.75,1.27,-5.581832843781925,0.05109332105881768,1
Customer Support,2025-11,94995.25,1.31,11,4,-0.5000000000000004,0.8660254037844384,93482.14,96735.51,102454.34,97557.33,101452.06333333334,1.29,-3.363160022622505,0.048880845381665615,1
Customer Support,2025-12,100684.55,1.32,12,4,-2.4492935982947064e-16,1.0,94995.25,93482.14,96735.51,95070.96666666666,100236.51,1.31,1.6186086454589088,0.049152838988482925,1
Engineering,2024-04,332460.72,1.67,4,2,0.8660254037844387,-0.4999999999999998,352361.21,373377.09,381486.57,369074.9566666667,369074.9566666667,1.69,-5.628593870073819,0.2053975284249827,2
Engineering,2024-05,327020.81,1.66,5,2,0.49999999999999994,-0.8660254037844387,332460.72,352361.21,373377.09,352733.00666666665,359921.3975,1.67,-5.647752770516382,0.19348156963716354,2
Engineering,2024-06,340615.1,1.64,6,2,1.2246467991473532e-16,-1.0,327020.81,332460.72,352361.21,337280.91333333333,353341.27999999997,1.66,-1.636256457604969,0.18918661244981239,2
Engineering,2024-07,366271.3,1.62,7,3,-0.4999999999999997,-0.8660254037844388,340615.1,327020.81,332460.72,333365.54333333333,351220.25,1.64,4.157010680757589,0.1950562186543062,2
Engineering,2024-08,389700.54,1.61,8,3,-0.8660254037844384,-0.5000000000000004,366271.3,340615.1,327020.81,344635.73666666663,348684.37166666664,1.62,7.532314333686325,0.20730700870999907,2
Engineering,2024-09,397964.78,1.61,9,3,-1.0,-1.8369701987210297e-16,389700.54,366271.3,340615.1,365528.98,351404.9466666667,1.61,6.396690103756421,0.21844555401776902,2
Engineering,2024-10,387324.89,1.62,10,4,-0.8660254037844386,0.5000000000000001,397964.78,389700.54,366271.3,384645.54000000004,359005.5416666667,1.61,2.1206642413172045,0.2218915262658988,2
Engineering,2024-11,365508.71,1.64,11,4,-0.5000000000000004,0.8660254037844384,387324.89,397964.78,389700.54,391663.4033333333,368149.57,1.62,-2.6735757872844963,0.21568072995077697,2
Engineering,2024-12,347023.47,1.66,12,4,-2.4492935982947064e-16,1.0,365508.71,387324.89,397964.78,383599.46,374564.22,1.64,-5.632527256381585,0.20354683859502926,2
Engineering,2025-01,344355.9,1.68,1,1,0.49999999999999994,0.8660254037844387,347023.47,365508.71,387324.89,366619.0233333334,375632.2816666667,1.66,-5.057400684104094,0.1928557533416585,2
Engineering,2025-02,360397.95,1.69,2,1,0.8660254037844386,0.5000000000000001,344355.9,347023.47,365508.71,352296.0266666667,371979.715,1.68,-0.7687001688963426,0.19016178379222476,2
Engineering,2025-03,386692.56,1.69,3,1,1.0,6.123233995736766e-17,360397.95,344355.9,347023.47,350592.44,367095.95,1.69,4.658566907086531,0.1970116906549444,2
Engineering,2025-04,408563.6,1.68,4,2,0.8660254037844387,-0.4999999999999998,386692.56,360397.95,344355.9,363815.47000000003,365217.24666666664,1.69,7.295993220827141,0.2090483409343356,2
Engineering,2025-05,414018.22,1.67,5,2,0.49999999999999994,-0.8660254037844387,408563.6,386692.56,360397.95,385218.0366666666,368757.0316666667,1.68,5.655924696353088,0.21895184747032082,2
Engineering,2025-06,401021.56,1.65,6,2,1.2246467991473532e-16,-1.0,414018.22,408563.6,386692.56,403091.45999999996,376841.95,1.67,1.335072434255033,0.22088804835852482,2
Engineering,2025-07,378731.05,1.63,7,3,-0.4999999999999997,-0.8660254037844388,401021.56,414018.22,408563.6,407867.7933333333,385841.63166666665,1.65,-3.1391517020675987,0.21377346763982205,2
Engineering,2025-08,361941.64,1.61,8,3,-0.8660254037844384,-0.5000000000000004,378731.05,401021.56,414018.22,397923.61000000004,391570.8233333333,1.63,-5.558431820972421,0.20188502617533682,2
Engineering,2025-09,362111.4,1.61,9,3,-1.0,-1.8369701987210297e-16,361941.64,378731.05,401021.56,380564.75,391828.105,1.61,-4.433069324524613,0.19245504968783594,2
Engineering,2025-10,380411.18,1.61,10,4,-0.8660254037844386,0.5000000000000001,362111.4,361941.64,378731.05,367594.6966666667,387731.24499999994,1.61,0.04690258904723129,0.19125834989920407,2
Engineering,2025-11,407014.42,1.63,11,4,-0.5000000000000004,0.8660254037844384,380411.18,362111.4,361941.64,368154.74,383039.175,1.61,5.0536326666324145,0.19891307656239968,2
Engineering,2025-12,427057.78,1.65,12,4,-2.4492935982947064e-16,1.0,407014.42,380411.18,362111.4,383179.0,381871.875,1.63,6.993285528569373,0.21059910103137539,2
HR,2024-04,128477.11,0.99,4,2,0.8660254037844387,-0.4999999999999998,132125.07,129291.61,121258.73,127558.47000000002,127558.47000000002,0.98,2.1915265808817805,0.07701802028940084,3
HR,2024-05,120997.27,1.01,5,2,0.49999999999999994,-0.8660254037844387,128477.11,132125.07,129291.61,129964.59666666668,127788.13,0.99,-2.7609900225596897,0.0747695935485146,3
HR,2024-06,114659.47,1.03,6,2,1.2246467991473532e-16,-1.0,120997.27,128477.11,132125.07,127199.81666666667,126429.95800000001,1.01,-5.821924232262071,0.06999879801831362,3
HR,2024-07,113744.88,1.05,7,3,-0.4999999999999997,-0.8660254037844388,114659.47,120997.27,128477.11,121377.95,124468.21,1.03,-5.237969418648869,0.0656607491890608,3
HR,2024-08,119245.01,1.06,8,3,-0.8660254037844384,-0.5000000000000004,113744.88,114659.47,120997.27,116467.20666666667,123215.90166666667,1.05,-0.7976576204303025,0.06437881108587487,3
HR,2024-09,128260.31,1.06,9,3,-1.0,-1.8369701987210297e-16,119245.01,113744.88,114659.47,115883.12,121541.46833333334,1.06,4.835496771371151,0.06684245875898558,3
HR,2024-10,135758.95,1.05,10,4,-0.8660254037844386,0.5000000000000001,128260.31,119245.01,113744.88,120416.73333333334,120897.34166666666,1.06,7.560316360407872,0.07151355440357642,3
HR,2024-11,137629.1,1.04,11,4,-0.5000000000000004,0.8660254037844384,135758.95,128260.31,119245.01,127754.75666666667,122110.98166666667,1.05,5.8464227943936935,0.07559697346935548,3
HR,2024-12,133173.11,1.02,12,4,-2.4492935982947064e-16,1.0,137629.1,135758.95,128260.31,133882.78666666665,124882.95333333332,1.04,1.3775519035761503,0.07664377739091126,3
HR,2025-01,125530.64,1.0,1,1,0.49999999999999994,0.8660254037844387,133173.11,137629.1,135758.95,135520.3866666667,127968.56,1.02,-3.2376801127087367,0.07400998109407861,3
HR,2025-02,119774.28,0.98,2,1,0.8660254037844386,0.5000000000000001,125530.64,133173.11,137629.1,132110.94999999998,129932.85333333333,1.0,-5.738748610736797,0.06932110186867599,3
HR,2025-03,119832.48,0.98,3,1,1.0,6.123233995736766e-17,119774.28,125530.64,133173.11,126159.34333333332,130021.065,0.98,-4.585621486515165,0.06547466044071197,3
HR,2025-04,126106.69,0.98,4,2,0.8660254037844387,-0.4999999999999998,119832.48,119774.28,125530.64,121712.46666666667,128616.42666666668,0.98,0.048591400424195484,0.06478216476170877,3
HR,2025-05,135227.8,1.0,5,2,0.49999999999999994,-0.8660254037844387,126106.69,119832.48,119774.28,121904.48333333332,127007.71666666667,0.98,5.235817534611656,0.06758138207580663,3
HR,2025-06,142099.81,1.02,6,2,1.2246467991473532e-16,-1.0,135227.8,126106.69,119832.48,127055.65666666666,126607.5,1.0,7.232851801914701,0.07214707803394962,3
HR,2025-07,142990.99,1.04,7,3,-0.4999999999999997,-0.8660254037844388,142099.81,135227.8,126106.69,134478.1,128095.28333333333,1.02,5.081802706248278,0.07574946627473061,3
HR,2025-08,137797.51,1.05,8,3,-0.8660254037844384,-0.5000000000000004,142990.99,142099.81,135227.8,140106.19999999998,131005.34166666667,1.04,0.6271507329953453,0.07622226843821578,3
HR,2025-09,130106.4,1.06,9,3,-1.0,-1.8369701987210297e-16,137797.51,142990.99,142099.81,140962.77,134009.21333333335,1.05,-3.6320330392844906,0.07327100201543561,3
HR,2025-10,125019.73,1.06,10,4,-0.8660254037844386,0.5000000000000001,130106.4,137797.51,142990.99,136964.96666666667,135721.53333333333,1.06,-5.581457894268202,0.0687190057405699,3
HR,2025-11,126059.75,1.05,11,4,-0.5000000000000004,0.8660254037844384,125019.73,130106.4,137797.51,130974.54666666668,135540.37333333332,1.06,-3.909623200703423,0.06537152542493765,3
HR,2025-12,133032.34,1.03,12,4,-2.4492935982947064e-16,1.0,126059.75,125019.73,130106.4,127061.96,134012.365,1.05,0.8318846953196941,0.06522636231473058,3
Infrastructure,2024-04,164298.68,1.23,4,2,0.8660254037844387,-0.4999999999999998,154925.38,143656.27,136781.1,145120.91666666666,145120.91666666666,1.24,7.8444957536486335,0.09030872082174211,4
Infrastructure,2024-05,166636.38,1.22,5,2,0.49999999999999994,-0.8660254037844387,164298.68,154925.38,143656.27,154293.44333333333,149915.35749999998,1.23,6.050203007409108,0.09561660846945783,4
Infrastructure,2024-06,161066.38,1.2,6,2,1.2246467991473532e-16,-1.0,166636.38,164298.68,154925.38,161953.48,153259.562,1.22,1.4228355334321687,0.09640173126321738,4
Infrastructure,2024-07,151513.31,1.18,7,3,-0.4999999999999997,-0.8660254037844388,161066.38,166636.38,164298.68,164000.48,154560.69833333333,1.2,-3.3426074186201116,0.09223607243230723,4
Infrastructure,2024-08,144317.85,1.16,8,3,-0.8660254037844384,-0.5000000000000004,151513.31,161066.38,166636.38,159738.69,157016.06666666668,1.18,-5.931138453599074,0.08575547982015186,4
Infrastructure,2024-09,144390.6,1.16,9,3,-1.0,-1.8369701987210297e-16,144317.85,151513.31,161066.38,152299.18000000002,157126.33,1.16,-4.749061320091279,0.08089696949843407,4
Infrastructure,2024-10,152233.36,1.16,10,4,-0.8660254037844386,0.5000000000000001,144390.6,144317.85,151513.31,146740.58666666667,155370.53333333333,1.16,0.05040956472120393,0.08050725145187192,4
Infrastructure,2024-11,163634.75,1.18,11,4,-0.5000000000000004,0.8660254037844384,152233.36,144390.6,144317.85,146980.60333333333,153359.6466666667,1.16,5.4316278206475905,0.08477070040001665,4
Infrastructure,2024-12,172224.76,1.2,12,4,-2.4492935982947064e-16,1.0,163634.75,152233.36,144390.6,153419.56999999998,152859.375,1.18,7.489416248843233,0.09112597083332968,4
Infrastructure,2025-01,173338.74,1.22,1,1,0.49999999999999994,0.8660254037844387,172224.76,163634.75,152233.36,162697.62333333332,154719.105,1.2,5.2495023214812315,0.09571264973486185,4
Infrastructure,2025-02,166846.88,1.23,2,1,0.8660254037844386,0.5000000000000001,173338.74,172224.76,163634.75,169732.75,158356.67666666667,1.22,0.6468175656043773,0.09572190863782691,4
Infrastructure,2025-03,157233.0,1.24,3,1,1.0,6.123233995736766e-17,166846.88,173338.74,172224.76,170803.46,162111.515,1.23,-3.7451870251277852,0.09120691699079483,4
Infrastructure,2025-04,150874.67,1.24,4,2,0.8660254037844387,-0.4999999999999998,157233.0,166846.88,173338.74,165806.20666666667,164251.915,1.24,-5.762097559151243,0.08500111248617866,4
Infrastructure,2025-05,152174.69,1.23,5,2,0.49999999999999994,-0.8660254037844387,150874.67,157233.0,166846.88,158318.18333333335,164025.46666666667,1.24,-4.04389027748627,0.08085470103791673,4
Infrastructure,2025-06,160890.43,1.21,6,2,1.2246467991473532e-16,-1.0,152174.69,150874.67,157233.0,153427.45333333334,162115.4566666667,1.23,0.8616555714753109,0.08118862566884986,4
Infrastructure,2025-07,172280.95,1.19,7,3,-0.4999999999999997,-0.8660254037844388,160890.43,152174.69,150874.67,154646.59666666668,160226.40166666664,1.21,5.727457042955034,0.08576622446723825,4
Infrastructure,2025-08,179982.85,1.17,8,3,-0.8660254037844384,-0.5000000000000004,172280.95,160890.43,152174.69,161782.02333333332,160050.10333333333,1.19,7.0796752796297575,0.09183547031663207,4
Infrastructure,2025-09,179870.19,1.16,9,3,-1.0,-1.8369701987210297e-16,179982.85,172280.95,160890.43,171051.41,162239.43166666667,1.17,4.47054651138155,0.09570219204319327,4
Infrastructure,2025-10,172557.23,1.16,10,4,-0.8660254037844386,0.5000000000000001,179870.19,179982.85,172280.95,177377.99666666667,166012.29666666666,1.16,-0.06259485278736474,0.09500301767758848,4
Infrastructure,2025-11,163025.84,1.17,11,4,-0.5000000000000004,0.8660254037844384,172557.23,179870.19,179982.85,177470.09,169626.05666666667,1.16,-4.065687593925371,0.09022839313604193,4
Infrastructure,2025-12,157603.57,1.19,12,4,-2.4492935982947064e-16,1.0,163025.84,172557.23,179870.19,171817.75333333333,171434.58166666667,1.17,-5.523610920272662,0.08435351098588802,4
Legal,2024-04,75479.65,1.01,4,2,0.8660254037844387,-0.4999999999999998,79704.85,84691.4,87123.38,83839.87666666666,83839.87666666666,0.99,-5.8879059739241395,0.04646135479408753,5
Legal,2024-05,74869.92,1.03,5,2,0.49999999999999994,-0.8660254037844387,75479.65,79704.85,84691.4,79958.63333333333,81749.82,1.01,-5.301057589343698,0.04392675669373432,5
Legal,2024-06,78536.67,1.04,6,2,1.2246467991473532e-16,-1.0,74869.92,75479.65,79704.85,76684.80666666666,80373.84,1.03,-0.8078071374204783,0.04331341035816179,5
Legal,2024-07,84546.87,1.04,7,3,-0.4999999999999997,-0.8660254037844388,78536.67,74869.92,75479.65,76295.41333333333,80067.645,1.04,4.8974942139647,0.04497471156123463,5
Legal,2024-08,89545.97,1.03,8,3,-0.8660254037844384,-0.5000000000000004,84546.87,78536.67,74869.92,79317.81999999999,79638.22666666667,1.04,7.652730883547772,0.04785294047197571,5
Legal,2024-09,90792.74,1.02,9,3,-1.0,-1.8369701987210297e-16,89545.97,84546.87,78536.67,84209.83666666666,80447.32166666666,1.03,5.912814986527598,0.05019474447407367,5
Legal,2024-10,87822.07,1.0,10,4,-0.8660254037844386,0.5000000000000001,90792.74,89545.97,84546.87,88295.19333333334,82295.30333333333,1.02,1.3923239649980943,0.05062292108478273,5
Legal,2024-11,82727.1,0.98,11,4,-0.5000000000000004,0.8660254037844384,87822.07,90792.74,89545.97,89386.92666666668,84352.37333333334,1.0,-3.2719246054254976,0.04890346231916114,5
Legal,2024-12,78889.52,0.96,12,4,-2.4492935982947064e-16,1.0,82727.1,87822.07,90792.74,87113.97000000002,85661.90333333334,0.98,-5.80146881074427,0.04606959891909236,5
Legal,2025-01,78928.32,0.96,1,1,0.49999999999999994,0.8660254037844387,78889.52,82727.1,87822.07,83146.23000000001,85720.71166666667,0.96,-4.638842652528617,0.04384227329166479,5
Legal,2025-02,83111.13,0.96,2,1,0.8660254037844386,0.5000000000000001,78928.32,78889.52,82727.1,80181.64666666667,84784.28666666667,0.96,0.04918270512991195,0.043586156423989046,5
Legal,2025-03,89191.87,0.98,3,1,1.0,6.123233995736766e-17,83111.13,78928.32,78889.52,80309.65666666668,83711.81333333334,0.96,5.299504664485443,0.04543273410279628,5
Legal,2025-04,93773.21,1.0,4,2,0.8660254037844387,-0.4999999999999998,89191.87,83111.13,78928.32,83743.77333333333,83445.00166666666,0.98,7.316396732904475,0.04821766534202504,5
Legal,2025-05,94367.33,1.02,5,2,0.49999999999999994,-0.8660254037844387,93773.21,89191.87,83111.13,88692.07,84436.85833333334,1.0,5.136499548669639,0.05025366325517586,5
Legal,2025-06,90905.0,1.03,6,2,1.2246467991473532e-16,-1.0,94367.33,93773.21,89191.87,92444.13666666667,86376.89666666667,1.02,0.6335711446798028,0.05034709668696434,5
Legal,2025-07,85777.6,1.04,7,3,-0.4999999999999997,-0.8660254037844388,90905.0,94367.33,93773.21,93015.18000000001,88379.47666666667,1.03,-3.668992224321703,0.04845893341943516,5
Legal,2025-08,82386.49,1.04,8,3,-0.8660254037844384,-0.5000000000000004,85777.6,90905.0,94367.33,90349.97666666667,89521.02333333333,1.04,-5.640393817721791,0.04572430230174572,5
Legal,2025-09,83079.84,1.03,9,3,-1.0,-1.8369701987210297e-16,82386.49,85777.6,90905.0,86356.36333333334,89400.25,1.04,-3.953374773833729,0.04380732768563573,5
Legal,2025-10,87728.23,1.01,10,4,-0.8660254037844386,0.5000000000000001,83079.84,82386.49,85777.6,83747.97666666667,88381.57833333332,1.03,0.8415821574629423,0.04388073147735721,5
Legal,2025-11,93803.17,0.99,11,4,-0.5000000000000004,0.8660254037844384,87728.23,83079.84,82386.49,84398.18666666666,87374.08166666667,1.01,5.5950878095095025,0.045872185277713994,5
Legal,2025-12,97910.85,0.97,12,4,-2.4492935982947064e-16,1.0,93803.17,87728.23,83079.84,88203.74666666666,87280.05500000001,0.99,6.92472651049725,0.04853602797633873,5
Marketing,2024-04,215758.34,1.44,4,2,0.8660254037844387,-0.4999999999999998,220392.32,214112.41,200000.0,211501.57666666666,211501.57666666666,1.43,2.932996737554822,0.12847054819640302,6
Marketing,2024-05,203749.27,1.44,5,2,0.49999999999999994,-0.8660254037844387,215758.34,220392.32,214112.41,216754.3566666667,212565.76750000002,1.44,-2.102605027253223,0.1255644946131044,6
Marketing,2024-06,192377.56,1.42,6,2,1.2246467991473532e-16,-1.0,203749.27,215758.34,220392.32,213299.97666666665,210802.46800000002,1.44,-5.565981829485714,0.11787211395024734,6
Marketing,2024-07,189269.04,1.41,7,3,-0.4999999999999997,-0.8660254037844388,192377.56,203749.27,215758.34,203961.72333333336,207731.65,1.42,-5.5812273585078325,0.11016669374769912,6
Marketing,2024-08,197037.2,1.39,8,3,-0.8660254037844384,-0.5000000000000004,189269.04,192377.56,203749.27,195131.95666666667,205943.15666666665,1.41,-1.6158433447227365,0.10712496044274603,6
Marketing,2024-09,211697.89,1.37,9,3,-1.0,-1.8369701987210297e-16,197037.2,189269.04,192377.56,192894.6,203097.28833333333,1.39,4.104295134587254,0.11044865453896975,6
Marketing,2024-10,225086.02,1.36,10,4,-0.8660254037844386,0.5000000000000001,211697.89,197037.2,189269.04,199334.71000000005,201648.21666666667,1.37,7.440569598025146,0.11803549027471817,6
Marketing,2024-11,229808.45,1.36,11,4,-0.5000000000000004,0.8660254037844384,225086.02,211697.89,197037.2,211273.70333333334,203202.83,1.36,6.324167897941719,0.12533849062815244,6
Marketing,2024-12,223728.51,1.37,12,4,-2.4492935982947064e-16,1.0,229808.45,225086.02,211697.89,222197.45333333334,207546.0266666667,1.36,2.098055667784264,0.12797720601493695,6
Marketing,2025-01,211262.12,1.39,1,1,0.49999999999999994,0.8660254037844387,223728.51,229808.45,225086.02,226207.66,212771.18500000003,1.37,-2.6456555448679113,0.12433548180489574,6
Marketing,2025-02,200699.12,1.41,2,1,0.8660254037844386,0.5000000000000001,211262.12,223728.51,229808.45,221599.69333333333,216436.69833333333,1.39,-5.572106120940963,0.1166641302992835,6
Marketing,2025-03,199174.8,1.43,3,1,1.0,6.123233995736766e-17,200699.12,211262.12,223728.51,211896.58333333334,217047.01833333334,1.41,-4.999949825363865,0.1097122581972499,6
Marketing,2025-04,208341.69,1.44,4,2,0.8660254037844387,-0.4999999999999998,199174.8,200699.12,211262.12,203712.01333333334,214959.83666666667,1.43,-0.7595050740631085,0.10767510369459424,6
Marketing,2025-05,223367.18,1.44,5,2,0.49999999999999994,-0.8660254037844387,208341.69,199174.8,200699.12,202738.53666666665,212169.11500000002,1.44,4.602434645346707,0.11165164476372556,6
Marketing,2025-06,235864.91,1.43,6,2,1.2246467991473532e-16,-1.0,223367.18,208341.69,199174.8,210294.55666666667,211095.56999999998,1.44,7.211945914425476,0.1191714230778233,6
Marketing,2025-07,238981.84,1.42,7,3,-0.4999999999999997,-0.8660254037844388,235864.91,223367.18,208341.69,222524.59333333335,213118.30333333334,1.43,5.595150549870402,0.12573303965316612,6
Marketing,2025-08,231555.18,1.4,8,3,-0.8660254037844384,-0.5000000000000004,238981.84,235864.91,223367.18,232737.97666666668,217738.25666666662,1.42,1.3214894915907553,0.12739080945127196,6
Marketing,2025-09,218817.74,1.38,9,3,-1.0,-1.8369701987210297e-16,231555.18,238981.84,235864.91,235467.30999999997,222880.93333333335,1.4,-3.107625248847362,0.12312472163295661,6
Marketing,2025-10,209223.79,1.36,10,4,-0.8660254037844386,0.5000000000000001,218817.74,231555.18,238981.84,229784.92,226154.75666666668,1.38,-5.500822741257614,0.11557415723744974,6
