category,period,amount,actual_roi
R&D,2025-02,290041.27,1.55
Infrastructure,2025-02,166846.88,1.23
Customer Support,2025-02,89444.8,1.34
Administration,2025-02,62916.17,0.99
Marketing,2025-03,199174.8,1.43
Engineering,2025-03,386692.56,1.69
Sales,2025-03,257600.02,1.27
Operations,2025-03,190455.97,1.03
HR,2025-03,119832.48,0.98
Legal,2025-03,89191.87,0.98
R&D,2025-03,291897.89,1.57
Infrastructure,2025-03,157233.0,1.24
Customer Support,2025-03,90224.82,1.33
Administration,2025-03,67472.38,0.97
Marketing,2025-04,208341.69,1.44
Engineering,2025-04,408563.6,1.68
Sales,2025-04,249430.69,1.25
Operations,2025-04,181821.41,1.01
HR,2025-04,126106.69,0.98
Legal,2025-04,93773.21,1.0
R&D,2025-04,281078.14,1.58
Infrastructure,2025-04,150874.67,1.24
Customer Support,2025-04,95454.26,1.31
Administration,2025-04,70553.14,0.95
Marketing,2025-05,223367.18,1.44
Engineering,2025-05,414018.22,1.67
Sales,2025-05,235419.51,1.23
Operations,2025-05,181908.72,1.01
HR,2025-05,135227.8,1.0
Legal,2025-05,94367.33,1.02
R&D,2025-05,265055.0,1.59
Infrastructure,2025-05,152174.69,1.23
Customer Support,2025-05,102288.57,1.29
Administration,2025-05,70508.07,0.94
Marketing,2025-06,235864.91,1.43
Engineering,2025-06,401021.56,1.65
Sales,2025-06,224866.17,1.21
Operations,2025-06,191320.04,1.01
HR,2025-06,142099.81,1.02
Legal,2025-06,90905.0,1.03
R&D,2025-06,254457.78,1.59
Infrastructure,2025-06,160890.43,1.21
Customer Support,2025-06,106909.71,1.27
Administration,2025-06,67582.89,0.94
Marketing,2025-07,238981.84,1.42
Engineering,2025-07,378731.05,1.63
Sales,2025-07,224972.88,1.21
Operations,2025-07,205001.7,1.03
HR,2025-07,142990.99,1.04
Legal,2025-07,85777.6,1.04
R&D,2025-07,256624.49,1.58
Infrastructure,2025-07,172280.95,1.19
Customer Support,2025-07,106842.11,1.26
Administration,2025-07,63770.34,0.95
Marketing,2025-08,231555.18,1.4
Engineering,2025-08,361941.64,1.61
Sales,2025-08,236475.6,1.21
Operations,2025-08,215309.71,1.05
HR,2025-08,137797.51,1.05
Legal,2025-08,82386.49,1.04
R&D,2025-08,271150.71,1.56
Infrastructure,2025-08,179982.85,1.17
Customer Support,2025-08,102454.34,1.26
Administration,2025-08,61601.43,0.97
Marketing,2025-09,218817.74,1.38
Engineering,2025-09,362111.4,1.61
Sales,2025-09,253197.64,1.23
Operations,2025-09,216646.48,1.07
HR,2025-09,130106.4,1.06
Legal,2025-09,83079.84,1.03
R&D,2025-09,290134.91,1.54
Infrastructure,2025-09,179870.19,1.16
Customer Support,2025-09,96735.51,1.27
Administration,2025-09,62610.17,0.99
Marketing,2025-10,209223.79,1.36
Engineering,2025-10,380411.18,1.61
Sales,2025-10,265796.32,1.25
Operations,2025-10,208856.26,1.08
HR,2025-10,125019.73,1.06
Legal,2025-10,87728.23,1.01
R&D,2025-10,302971.41,1.52
Infrastructure,2025-10,172557.23,1.16
Customer Support,2025-10,93482.14,1.29
Administration,2025-10,66403.04,1.0
Marketing,2025-11,209320.8,1.36
Engineering,2025-11,407014.42,1.63
Sales,2025-11,267430.15,1.27
Operations,2025-11,197319.6,1.09
HR,2025-11,126059.75,1.05
Legal,2025-11,93803.17,0.99
R&D,2025-11,302783.64,1.51
Infrastructure,2025-11,163025.84,1.17
Customer Support,2025-11,94995.25,1.31
Administration,2025-11,70897.7,1.02
Marketing,2025-12,219777.82,1.36
Engineering,2025-12,427057.78,1.65
Sales,2025-12,257908.76,1.28
Operations,2025-12,189689.6,1.09
HR,2025-12,133032.34,1.03
Legal,2025-12,97910.85,0.97
R&D,2025-12,290595.38,1.51
Infrastructure,2025-12,157603.57,1.19
Customer Support,2025-12,100684.55,1.32
Administration,2025-12,73586.14,1.02
Marketing,2026-01,210000.0,1.4
Engineering,2026-01,360000.0,1.65
Sales,2026-01,225000.0,1.25
Operations,2026-01,180000.0,1.05
HR,2026-01,120000.0,1.02
Legal,2026-01,80000.0,1.0
R&D,2026-01,260000.0,1.55
Infrastructure,2026-01,155000.0,1.2
Customer Support,2026-01,95000.0,1.3
Administration,2026-01,60000.0,0.98
Marketing,2026-02,220000.0,1.42
Engineering,2026-02,380000.0,1.68
Sales,2026-02,230000.0,1.26
Operations,2026-02,185000.0,1.05
HR,2026-02,122000.0,1.01
Legal,2026-02,82000.0,1.0
R&D,2026-02,270000.0,1.56
Infrastructure,2026-02,160000.0,1.22
Customer Support,2026-02,98000.0,1.32
Administration,2026-02,62000.0,0.97
Marketing,2026-03,230000.0,1.44
Engineering,2026-03,395000.0,1.7
Sales,2026-03,240000.0,1.28
Operations,2026-03,190000.0,1.06
HR,2026-03,125000.0,1.03
Legal,2026-03,85000.0,1.01
R&D,2026-03,280000.0,1.58
Infrastructure,2026-03,165000.0,1.23
Customer Support,2026-03,100000.0,1.35
Administration,2026-03,65000.0,0.99
